Feature	Gain	Cover	Frequency
mrentabilidad_annual_lag2	0.00457148626602531	0.00353019242179058	0.00510660235614313
Master_Fvencimiento_lag1	0.00453615093122994	0.00438679083886097	0.00705496041744558
mactivos_margen_pct	0.00446776907334183	0.00401327382333587	0.00820214621277742
Visa_mlimitecompra	0.00445661370913285	0.00383650674129626	0.00699458221769128
mcuenta_corriente_lag1	0.00442694744779352	0.00516430741220498	0.00608890922137667
mactivos_margen_ratio	0.00438503086292385	0.00337898787305258	0.00774002076081176
cliente_edad_lag2	0.00436900688503503	0.00617872964025232	0.00710837190184363
ctrx_quarter_delta1	0.00433072208425973	0.00374111224718633	0.00654406795798606
ccomisiones_otras	0.00431794520894626	0.00389166590406398	0.00691098163341608
mcaja_ahorro_dolares	0.00420775127408789	0.00367758956629162	0.00613767622887053
mpasivos_margen_lag1	0.00410208287783782	0.00272918827910847	0.00572664002285083
Visa_fechaalta_lag1	0.00405887210660337	0.00315959754333675	0.00591009686056584
cproductos	0.00402982222342688	0.00874524770485944	0.00615160965958307
ccomisiones_mantenimiento_delta1	0.00402380424791265	0.00122367288804545	0.00062468214361187
mactivos_margen_lag1	0.00393713076334598	0.00516539302828868	0.00539688216265423
mactivos_margen_delta1	0.00380861289012431	0.00444523919754593	0.00594725267579926
ctarjeta_master	0.00379933107399663	0.000128673269385367	0.000236868322113051
chomebanking_transacciones_lag1	0.00376851961766534	0.00168496494044019	0.00520181413267877
Visa_cconsumos	0.00376092830172013	0.00204916247068383	0.005443326931696
mcuentas_saldo_lag1	0.00374186580206753	0.00280075758722145	0.00466305481179419
mcuentas_saldo_delta1	0.00371740105419609	0.0034030320675993	0.00536669306277707
mrentabilidad_delta1	0.00368559986625173	0.00321123313488191	0.00625378815147497
chomebanking_transacciones_delta1	0.00368110485448756	0.00416145557629708	0.00474665539606938
mrentabilidad_lag1	0.00368063744360518	0.00317895655616002	0.00559195019262968
mcaja_ahorro_ratio	0.00366136940374138	0.00176260624768248	0.00527612576314561
Visa_mconsumototal	0.00363921646454224	0.00190926972645502	0.0045980321351357
mcuenta_corriente_delta1	0.00363078434787039	0.00535649419408467	0.00634667768955852
mprestamos_personales_lag1	0.00356482827681901	0.00351662551362042	0.00127258667174463
mactivos_margen_lag2	0.00354355925657051	0.00315005808101252	0.00349496887039355
mcomisiones_otras_lag1	0.00348022662168576	0.00219295049374755	0.00464215466572539
mautoservicio	0.00346647753374079	0.00170707576469962	0.00326274502518468
mcuentas_saldo_normal	0.00343449234860097	0.00185243384404427	0.00334866784791196
mpayroll_normal	0.00332741799823876	0.00124391962154999	0.000369235913882109
mcaja_ahorro_dolares_delta1	0.00328132588229959	0.00620731477563212	0.00340440157076209
limite_total_lag1	0.00322997317277152	0.00230507667287784	0.00417306249840346
mcuenta_corriente_lag2	0.00315848157516259	0.00681107040463375	0.00470485510393178
mcaja_ahorro_pct	0.00309772323548577	0.00216839893800267	0.00481864478808413
