Epoch	Iteration	num_iterations	learning_rate	feature_fraction	bagging_fraction	num_leaves	min_data_in_leaf	gpUtility	acqOptimum	inBounds	Elapsed	Score	errorMessage
54	64	3000	0.0360772333942113	0.1	0.784113443135946	200	500	0.148672816901293	TRUE	TRUE	144.409999999996	0.934445697571442	
18	28	1897	0.005	1	0.729977478823991	200	500	0.334483101799464	TRUE	TRUE	487.170000000006	0.934430131913101	
57	67	2082	0.005	0.1	0.5	93	993	0.174953138289455	TRUE	TRUE	342.410000000004	0.934385753076104	
0	6	2192	0.0327935818174307	0.389735399152842	0.500250575459124	123	1487		FALSE	TRUE	127.970000000001	0.934371810665803	
5	15	1389	0.0309666213562121	1	0.972753824193344	116	500	0.226980860226244	TRUE	TRUE	96.2000000000044	0.934253287754213	
68	78	3000	0.0611232470639914	0.1	1	54	500	0.169737465256656	TRUE	TRUE	45.8499999999985	0.934100964361218	
21	31	1409	0.005	0.1	0.5	179	788	0.341558464547441	TRUE	TRUE	279.010000000002	0.934047477516488	
43	53	500	0.0541393756326748	0.1	0.5	200	500	0.215662876076971	TRUE	TRUE	123.75	0.934033956527202	
45	55	1105	0.0381916736711594	0.1	0.5	200	1321	0.180012266789188	TRUE	TRUE	77.2699999999968	0.933952766909592	
25	35	668	0.1	1	0.5	200	500	0.291401391760261	TRUE	TRUE	211.309999999998	0.933929149886032	
63	73	2220	0.0320762146296793	0.1	1	131	957	0.165063009582154	TRUE	TRUE	106.57	0.933927567715071	
38	48	3000	0.0454225025316131	0.1	1	144	997	0.314017152910572	TRUE	TRUE	88.2999999999956	0.933912840120025	
39	49	1743	0.0230204906201754	0.1	1	200	1335	0.222747383967783	TRUE	TRUE	148.309999999998	0.93390577535538	
28	38	2902	0.0118934350506548	0.369888008828903	0.5	53	1064	0.248073934051135	TRUE	TRUE	197.940000000002	0.933876091591327	
16	26	2279	0.0133397024225055	0.1	0.554745337416781	10	500	0.361016457277317	TRUE	TRUE	138.57	0.933859488062315	
1	11	3000	0.00927361145339752	1	0.5	200	1066	0.378379541480087	TRUE	TRUE	209.790000000001	0.933351137543588	
46	56	500	0.0345398737121985	1	1	200	636	0.1732000156025	TRUE	TRUE	101.610000000001	0.93322474430795	
51	61	3000	0.0504054411791169	1	0.5	200	500	0.177482301055862	TRUE	TRUE	90.5800000000018	0.933209488645783	
66	76	784	0.0623764845631303	0.321160391007163	1	166	750	0.190577788753318	TRUE	TRUE	83.0500000000029	0.933114601471653	
36	46	801	0.0322328338552475	0.1	1	10	500	0.243675874338876	TRUE	TRUE	49.4199999999983	0.933063077842143	
27	37	3000	0.005	0.1	0.919512692583624	200	1853	0.279735233454898	TRUE	TRUE	320.130000000005	0.933001862805489	
64	74	1418	0.0275704416095451	1	0.5	144	1181	0.144001110538013	TRUE	TRUE	103.07	0.932649509518385	
0	5	2332	0.0688971687122507	0.943007639547714	0.930384864686069	157	660		FALSE	TRUE	61.7700000000041	0.932639989259732	
41	51	3000	0.1	0.1	0.564414289513709	145	500	0.32240317662326	TRUE	TRUE	65.1100000000006	0.932444695758709	
19	29	3000	0.0309551979735883	0.1	0.5	10	2415	0.321577787323566	TRUE	TRUE	131.5	0.932380850599015	
55	65	2851	0.0384323923394013	0.1	0.5	10	1003	0.188176253582987	TRUE	TRUE	75.2699999999968	0.932365910314359	
69	79	1352	0.0807236296530631	0.794445459865448	0.5	71	500	0.150150501670509	TRUE	TRUE	60.5899999999965	0.932362895563854	
0	9	1651	0.0419241600467882	0.877681087890562	0.838751942375769	50	2304		FALSE	TRUE	59.5999999999986	0.932272495688264	
26	36	1810	0.0998430907261754	0.1	0.987762633024673	192	500	0.32413495827698	TRUE	TRUE	67.4599999999991	0.932212148683549	
62	72	1604	0.0218883116668396	0.1	0.5	10	1757	0.154428658704686	TRUE	TRUE	97.2000000000044	0.932058830073193	
0	7	1811	0.0503084840653848	0.150031044377586	0.580820293051801	29	2093		FALSE	TRUE	56.1399999999994	0.931854980067543	
60	70	1813	0.020347637279733	1	0.891475667733558	10	500	0.140560825417567	TRUE	TRUE	81.8099999999977	0.931776856148477	
0	3	2993	0.0765079481420464	0.58893709574568	0.864690736612695	86	2719		FALSE	TRUE	47.2900000000009	0.931610383606226	
10	20	3000	0.005	0.299903048217852	1	10	500	0.101491736103859	TRUE	TRUE	245.510000000002	0.931574504293406	
0	1	541	0.0932629368241622	0.275031237398856	0.708901201258751	184	1668		FALSE	TRUE	38.6200000000026	0.931529507263491	
0	4	1146	0.0543578075741939	0.645383234426778	0.771152685617506	129	3290		FALSE	TRUE	54.5599999999977	0.931144317393129	
17	27	1766	0.0199611963962912	0.1	0.938129479712967	10	4000	0.340106612034987	TRUE	TRUE	106.049999999996	0.930521142146193	
14	24	734	0.005	0.1	0.894084544999786	80	500	0.381911561436282	TRUE	TRUE	148.239999999998	0.930498843668641	
0	2	2520	0.087001598322725	0.359905672746333	0.967912710545548	167	3818		FALSE	TRUE	55.5	0.930393864903213	
0	10	860	0.0107209042083584	0.793186479216159	0.628839588269739	86	3552		FALSE	TRUE	72.7999999999956	0.929007055895108	
31	41	500	0.005	1	0.5	158	500	0.227436493142375	TRUE	TRUE	167.489999999998	0.92651368548523	
12	22	500	0.005	0.1	0.725697110853177	81	902	0.352669675599127	TRUE	TRUE	88.9000000000015	0.923957429769892	
